station,week,date,mean_temp,max_temp,min_temp,total_rainfall
Admiralty,2023-12-31,2024-01-01,25.6,25.6,25.6,8.5
Admiralty,2024-01-07,2024-01-07,24,24,24,69.6
Admiralty,2024-01-14,2024-01-14,27.3,27.3,27.3,0
Admiralty,2024-01-21,2024-01-21,27.2,27.2,27.2,0
Admiralty,2024-01-28,2024-01-28,27.5,27.5,27.5,0
Admiralty,2024-02-04,2024-02-04,28.3,28.3,28.3,0
Admiralty,2024-02-11,2024-02-11,27.6,27.6,27.6,0
Admiralty,2024-02-18,2024-02-18,27.9,27.9,27.9,0
Admiralty,2024-02-25,2024-02-25,28.4,28.4,28.4,0
Admiralty,2024-03-03,2024-03-03,26.3,26.3,26.3,34.2
Admiralty,2024-03-10,2024-03-10,27.7,27.7,27.7,0
Admiralty,2024-03-17,2024-03-17,28.9,28.9,28.9,0
Admiralty,2024-03-24,2024-03-24,29.2,29.2,29.2,0
Admiralty,2024-03-31,2024-03-31,28.8,28.8,28.8,33.8
Admiralty,2024-04-07,2024-04-07,29.3,29.3,29.3,7
Admiralty,2024-04-14,2024-04-14,28.2,28.2,28.2,1
Admiralty,2024-04-21,2024-04-21,28.6,28.6,28.6,10.6
Admiralty,2024-04-28,2024-04-28,29.6,29.6,29.6,1
Admiralty,2024-05-05,2024-05-05,NA,NA,NA,0
Admiralty,2024-05-12,2024-05-12,NA,NA,NA,0
Admiralty,2024-05-19,2024-05-19,29.1,29.1,29.1,9.8
Admiralty,2024-05-26,2024-05-26,29.4,29.4,29.4,0
Admiralty,2024-06-02,2024-06-02,26.9,26.9,26.9,39
Admiralty,2024-06-09,2024-06-09,29.1,29.1,29.1,0.2
Admiralty,2024-06-16,2024-06-16,28.1,28.1,28.1,42.4
Admiralty,2024-06-23,2024-06-23,28.4,28.4,28.4,0
Admiralty,2024-06-30,2024-06-30,26,26,26,25.8
Admiralty,2024-07-07,2024-07-07,28.2,28.2,28.2,0.8
Admiralty,2024-07-14,2024-07-14,28.8,28.8,28.8,0
Admiralty,2024-07-21,2024-07-21,29.8,29.8,29.8,0
Admiralty,2024-07-28,2024-07-28,30.3,30.3,30.3,0
Admiralty,2024-08-04,2024-08-04,26.7,26.7,26.7,58
Admiralty,2024-08-11,2024-08-11,NA,NA,NA,0
Admiralty,2024-08-18,2024-08-18,NA,NA,NA,0
Admiralty,2024-08-25,2024-08-25,NA,NA,NA,0
Admiralty,2024-09-01,2024-09-01,NA,NA,NA,0
Admiralty,2024-09-08,2024-09-08,NA,NA,NA,0
Admiralty,2024-09-15,2024-09-15,NA,NA,NA,0
Admiralty,2024-09-22,2024-09-22,30.4,30.4,30.4,0
Admiralty,2024-09-29,2024-09-29,28.9,28.9,28.9,0
Admiralty,2024-10-06,2024-10-06,27.1,27.1,27.1,9.4
Admiralty,2024-10-13,2024-10-13,28,28,28,1
Admiralty,2024-10-20,2024-10-20,27.4,27.4,27.4,2.2
Admiralty,2024-10-27,2024-10-27,30.1,30.1,30.1,0
Admiralty,2024-11-03,2024-11-03,27.8,27.8,27.8,7.4
Admiralty,2024-11-10,2024-11-10,27,27,27,21.4
Admiralty,2024-11-17,2024-11-17,26.1,26.1,26.1,19.6
Admiralty,2024-11-24,2024-11-24,27.4,27.4,27.4,1.8
Admiralty,2024-12-01,2024-12-01,28.1,28.1,28.1,0.2
Admiralty,2024-12-08,2024-12-08,28.2,28.2,28.2,0
Admiralty,2024-12-15,2024-12-15,29,29,29,0
Admiralty,2024-12-22,2024-12-22,27.3,27.3,27.3,2.2
Admiralty,2024-12-29,2024-12-29,27.3,27.3,27.3,8.8
Ang Mo Kio,2023-12-31,2024-01-01,25.5,25.5,25.5,9
Ang Mo Kio,2024-01-07,2024-01-07,24.3,24.3,24.3,47.4
Ang Mo Kio,2024-01-14,2024-01-14,27.5,27.5,27.5,0
Ang Mo Kio,2024-01-21,2024-01-21,27,27,27,1.6
Ang Mo Kio,2024-01-28,2024-01-28,27.6,27.6,27.6,0.8
Ang Mo Kio,2024-02-04,2024-02-04,28.5,28.5,28.5,0
Ang Mo Kio,2024-02-11,2024-02-11,27.7,27.7,27.7,0.8
Ang Mo Kio,2024-02-18,2024-02-18,28.1,28.1,28.1,0
Ang Mo Kio,2024-02-25,2024-02-25,28.7,28.7,28.7,0
Ang Mo Kio,2024-03-03,2024-03-03,26.5,26.5,26.5,15.8
Ang Mo Kio,2024-03-10,2024-03-10,27.9,27.9,27.9,0.4
Ang Mo Kio,2024-03-17,2024-03-17,29.3,29.3,29.3,0
Ang Mo Kio,2024-03-24,2024-03-24,29.5,29.5,29.5,0
Ang Mo Kio,2024-03-31,2024-03-31,29.3,29.3,29.3,4.6
Ang Mo Kio,2024-04-07,2024-04-07,29.4,29.4,29.4,21
Ang Mo Kio,2024-04-14,2024-04-14,28.5,28.5,28.5,0.2
Ang Mo Kio,2024-04-21,2024-04-21,28.8,28.8,28.8,38.2
Ang Mo Kio,2024-04-28,2024-04-28,29.8,29.8,29.8,8.6
Ang Mo Kio,2024-05-05,2024-05-05,29.7,29.7,29.7,0
Ang Mo Kio,2024-05-12,2024-05-12,29.1,29.1,29.1,2.2
Ang Mo Kio,2024-05-19,2024-05-19,29.6,29.6,29.6,2.6
Ang Mo Kio,2024-05-26,2024-05-26,29.6,29.6,29.6,0
Ang Mo Kio,2024-06-02,2024-06-02,27.5,27.5,27.5,5.6
Ang Mo Kio,2024-06-09,2024-06-09,29.5,29.5,29.5,0
Ang Mo Kio,2024-06-16,2024-06-16,NA,NA,NA,0
Ang Mo Kio,2024-06-23,2024-06-23,28.4,28.4,28.4,0
Ang Mo Kio,2024-06-30,2024-06-30,26.3,26.3,26.3,27
Ang Mo Kio,2024-07-07,2024-07-07,28.2,28.2,28.2,3.8
Ang Mo Kio,2024-07-14,2024-07-14,29.3,29.3,29.3,0
Ang Mo Kio,2024-07-21,2024-07-21,29.8,29.8,29.8,0
Ang Mo Kio,2024-07-28,2024-07-28,30.2,30.2,30.2,0
Ang Mo Kio,2024-08-04,2024-08-04,27.1,27.1,27.1,8
Ang Mo Kio,2024-08-11,2024-08-11,28.7,28.7,28.7,1.8
Ang Mo Kio,2024-08-18,2024-08-18,29.3,29.3,29.3,0
Ang Mo Kio,2024-08-25,2024-08-25,27.7,27.7,27.7,2.2
Ang Mo Kio,2024-09-01,2024-09-01,30.2,30.2,30.2,0
Ang Mo Kio,2024-09-08,2024-09-08,28.7,28.7,28.7,0.4
Ang Mo Kio,2024-09-15,2024-09-15,28.1,28.1,28.1,5
Ang Mo Kio,2024-09-22,2024-09-22,30.6,30.6,30.6,0
Ang Mo Kio,2024-09-29,2024-09-29,29.1,29.1,29.1,2.4
Ang Mo Kio,2024-10-06,2024-10-06,27.6,27.6,27.6,22.4
Ang Mo Kio,2024-10-13,2024-10-13,28.4,28.4,28.4,2
Ang Mo Kio,2024-10-20,2024-10-20,27.4,27.4,27.4,7.6
Ang Mo Kio,2024-10-27,2024-10-27,30.8,30.8,30.8,0
Ang Mo Kio,2024-11-03,2024-11-03,28.1,28.1,28.1,7.4
Ang Mo Kio,2024-11-10,2024-11-10,27.2,27.2,27.2,38.6
Ang Mo Kio,2024-11-17,2024-11-17,26.3,26.3,26.3,5
Ang Mo Kio,2024-11-24,2024-11-24,27.3,27.3,27.3,15.4
Ang Mo Kio,2024-12-01,2024-12-01,28.7,28.7,28.7,0
Ang Mo Kio,2024-12-08,2024-12-08,28.3,28.3,28.3,1.8
Ang Mo Kio,2024-12-15,2024-12-15,28.6,28.6,28.6,0
Ang Mo Kio,2024-12-22,2024-12-22,27.6,27.6,27.6,0
Ang Mo Kio,2024-12-29,2024-12-29,27.2,27.2,27.2,35.8
Changi,2023-12-31,2024-01-01,25.6,25.6,25.6,49.6
Changi,2024-01-07,2024-01-07,24.5,24.5,24.5,64
Changi,2024-01-14,2024-01-14,27.6,27.6,27.6,0
Changi,2024-01-21,2024-01-21,26.9,26.9,26.9,13.4
Changi,2024-01-28,2024-01-28,27.8,27.8,27.8,0.4
Changi,2024-02-04,2024-02-04,28.3,28.3,28.3,0
Changi,2024-02-11,2024-02-11,27.8,27.8,27.8,16.2
Changi,2024-02-18,2024-02-18,28.4,28.4,28.4,0
Changi,2024-02-25,2024-02-25,29,29,29,0
Changi,2024-03-03,2024-03-03,27.3,27.3,27.3,16.2
Changi,2024-03-10,2024-03-10,28.2,28.2,28.2,0
Changi,2024-03-17,2024-03-17,29.1,29.1,29.1,0
Changi,2024-03-24,2024-03-24,29.5,29.5,29.5,0
Changi,2024-03-31,2024-03-31,29.7,29.7,29.7,1
Changi,2024-04-07,2024-04-07,30.5,30.5,30.5,0
Changi,2024-04-14,2024-04-14,28.3,28.3,28.3,1.2
Changi,2024-04-21,2024-04-21,29.1,29.1,29.1,0.2
Changi,2024-04-28,2024-04-28,29.5,29.5,29.5,16.4
Changi,2024-05-05,2024-05-05,29.6,29.6,29.6,0
Changi,2024-05-12,2024-05-12,29.6,29.6,29.6,0.4
Changi,2024-05-19,2024-05-19,29.4,29.4,29.4,0.4
Changi,2024-05-26,2024-05-26,29.5,29.5,29.5,0
Changi,2024-06-02,2024-06-02,27.4,27.4,27.4,6.2
Changi,2024-06-09,2024-06-09,29.1,29.1,29.1,14.4
Changi,2024-06-16,2024-06-16,28,28,28,12.6
Changi,2024-06-23,2024-06-23,28.6,28.6,28.6,0
Changi,2024-06-30,2024-06-30,26.7,26.7,26.7,35.6
Changi,2024-07-07,2024-07-07,28.2,28.2,28.2,0.4
Changi,2024-07-14,2024-07-14,29.2,29.2,29.2,0.6
Changi,2024-07-21,2024-07-21,30,30,30,0
Changi,2024-07-28,2024-07-28,30,30,30,0
Changi,2024-08-04,2024-08-04,27.3,27.3,27.3,32.4
Changi,2024-08-11,2024-08-11,28.7,28.7,28.7,0.8
Changi,2024-08-18,2024-08-18,29.1,29.1,29.1,0
Changi,2024-08-25,2024-08-25,27.3,27.3,27.3,1.6
Changi,2024-09-01,2024-09-01,29.6,29.6,29.6,0
Changi,2024-09-08,2024-09-08,28.6,28.6,28.6,0.6
Changi,2024-09-15,2024-09-15,27.9,27.9,27.9,8.4
Changi,2024-09-22,2024-09-22,29.9,29.9,29.9,0
Changi,2024-09-29,2024-09-29,29,29,29,0
Changi,2024-10-06,2024-10-06,27.9,27.9,27.9,7.6
Changi,2024-10-13,2024-10-13,28.3,28.3,28.3,0.2
Changi,2024-10-20,2024-10-20,27.1,27.1,27.1,18.6
Changi,2024-10-27,2024-10-27,30.7,30.7,30.7,0
Changi,2024-11-03,2024-11-03,27.6,27.6,27.6,10
Changi,2024-11-10,2024-11-10,27.6,27.6,27.6,12.2
Changi,2024-11-17,2024-11-17,26.8,26.8,26.8,14
Changi,2024-11-24,2024-11-24,28,28,28,0
Changi,2024-12-01,2024-12-01,28.4,28.4,28.4,0.2
Changi,2024-12-08,2024-12-08,28.1,28.1,28.1,4.6
